CD14,CD15,CD19,CD4,CD8,IL,PLA,RE,TR,V1
9,9,-1,-1,-1,13,-1,9,9,PHYKPL
3,14,8,8,8,8,14,3,3,AHCTF1
13,14,3,8,8,3,9,3,3,AHCTF1
14,-1,12,14,12,14,-1,12,14,AHCY
14,14,14,14,14,7,9,14,14,AHCYL1
3,-1,9,3,13,12,-1,11,11,AHCYL2
11,9,11,11,11,11,14,11,11,AHNAK
8,-1,9,9,3,3,-1,3,3,AHNAK
11,11,11,11,11,11,11,11,11,AHR
3,9,9,3,9,9,9,13,13,AHR
12,8,12,14,14,12,14,12,12,AHSA1
13,12,3,9,9,8,9,13,3,AHSA2
9,9,9,9,9,9,11,9,9,AHSP
14,12,11,11,15,15,11,14,14,AIDA
11,14,6,3,6,3,9,3,3,AIF1
2,11,6,14,14,6,14,8,7,AIF1
9,9,9,9,9,3,9,8,3,AIF1L
9,9,9,3,13,14,9,3,3,AIG1
8,12,14,3,3,6,-1,6,13,AIM2
14,9,12,14,12,15,-1,14,11,AIMP2
12,12,14,14,14,12,-1,12,12,AIP
11,11,2,11,2,2,2,11,2,AIRE
9,9,9,9,9,9,9,9,9,AJAP1
12,3,12,8,8,7,-1,14,11,AK2
3,9,9,9,13,9,-1,9,13,AK2
12,8,12,8,12,7,-1,14,11,AK2
12,3,12,14,15,7,11,11,11,AK3
13,-1,-1,9,9,3,-1,3,3,AK4
3,9,9,9,9,3,9,8,7,AK4
9,-1,9,9,6,8,-1,8,8,AKAP1
13,8,9,9,13,9,-1,9,9,AKAP10
12,3,14,14,14,12,-1,8,8,AKAP11
8,3,12,14,12,8,-1,8,8,AKAP11
8,12,8,8,8,3,-1,3,3,AKAP13
8,12,8,3,3,13,-1,9,9,AKAP13
14,14,14,14,15,14,14,14,14,AKAP13
9,-1,9,9,6,-1,9,-1,-1,AKAP7
8,-1,12,14,14,8,-1,12,6,AKAP7
3,8,8,8,8,3,-1,3,7,AKAP8
8,14,12,14,12,8,12,8,8,AKIRIN1
3,8,3,8,3,9,9,13,13,AKIRIN1
11,11,14,14,14,12,11,12,12,AKIRIN2
12,11,14,14,15,6,9,6,3,AKNA
11,-1,14,14,14,11,-1,14,11,AKR1A1
9,-1,-1,-1,-1,9,-1,9,9,AKR1A1
11,-1,14,14,14,11,-1,14,11,AKR1A1
14,9,14,14,15,12,12,12,8,AKR1B1
9,9,-1,8,8,2,9,11,2,AKR1C3
11,11,2,11,2,2,2,11,2,AKR1D1
11,3,11,11,15,11,11,11,11,AKR7A2
12,9,12,8,12,2,12,11,11,AKR7A3
11,11,14,14,15,15,12,14,14,AKT1
11,11,14,14,15,15,12,14,14,AKT1
9,9,9,9,9,9,-1,9,-1,AKT1
9,9,-1,-1,9,9,-1,9,9,AKT1S1
8,14,12,14,15,14,-1,12,12,AKTIP
3,12,3,8,12,8,-1,8,8,AKTIP
9,9,9,9,9,9,-1,9,9,ALAD
12,3,8,8,12,12,9,12,12,ALAD
