CD14,CD15,IL,CD4,CD8,CD19,PLA,RE,TR,V1
3,3,1,3,3,5,3,6,8,ADSSL1
8,8,8,8,8,8,8,8,8,ADSSL1
3,2,1,3,3,5,9,6,6,AEBP2
3,5,3,3,3,5,3,3,3,AEN
2,2,12,2,2,2,2,12,9,AES
6,10,8,6,6,8,8,8,8,AES
8,8,8,8,8,8,5,8,8,AFAP1
3,3,12,12,12,3,3,12,2,AFF1
12,2,3,12,12,3,9,3,3,AFF1
3,10,1,12,12,3,10,10,6,AFF3
10,10,5,10,5,5,5,5,5,AFF4
5,3,5,5,5,5,5,5,5,AFG3L1P
3,3,10,11,6,5,3,11,11,AFG3L2
6,5,6,11,10,10,10,11,11,AFMID
6,5,5,10,10,5,5,10,11,AFTPH
10,10,10,5,5,5,8,10,10,AFTPH
8,8,8,8,8,8,5,8,6,AFTPH
9,2,12,12,12,2,10,3,3,AGA
5,8,3,3,3,3,12,3,3,AGAP3
3,10,5,3,3,3,3,5,5,AGBL5
8,8,8,8,8,8,8,8,8,AGFG1
6,8,6,6,6,10,8,6,6,AGFG1
3,6,5,5,5,5,3,10,5,AGFG2
12,5,12,12,12,2,12,12,3,AGGF1
12,3,12,12,12,3,12,12,2,AGGF1
10,6,10,10,10,10,8,10,10,AGK
5,6,5,5,5,5,8,5,5,AGL
2,3,12,2,2,2,2,12,2,AGL
5,5,6,5,5,5,5,11,11,AGPAT1
3,5,5,5,5,5,12,3,5,AGPAT2
8,8,8,8,8,8,8,8,8,AGPAT2
6,6,8,6,6,8,5,8,6,AGPAT3
5,10,5,3,3,5,3,3,3,AGPAT3
3,5,12,5,5,5,10,12,3,AGPAT5
5,10,6,11,10,10,12,6,6,GPAT4
2,2,2,2,2,2,2,2,2,GPAT3
2,2,3,12,12,2,12,3,3,AGPS
3,5,10,5,5,5,10,5,5,AGRN
3,3,5,3,3,5,12,5,3,AGRP
2,2,12,12,12,2,2,12,2,AGTPBP1
10,10,10,10,5,5,10,10,10,AGTPBP1
3,5,5,3,3,3,10,5,5,AGTRAP
5,10,10,6,6,8,10,10,10,PHYKPL
6,10,8,6,6,10,8,8,6,PHYKPL
3,3,3,3,3,3,10,3,3,AHCTF1
8,8,8,8,8,8,8,8,8,AHCTF1
10,5,8,6,6,8,10,8,8,AHCY
3,2,5,5,5,5,6,10,11,AHCYL1
3,3,10,10,10,5,6,11,11,AHCYL2
10,5,10,5,10,10,5,10,10,AHNAK
10,10,6,10,10,10,5,11,11,AHNAK
3,5,3,3,3,5,12,3,3,AHR
5,10,10,6,10,8,3,10,6,AHR
8,8,8,8,8,8,8,8,8,AHSA1
3,5,5,5,5,5,10,5,5,AHSA2
6,6,12,6,6,10,10,12,2,AHSP
6,6,10,10,10,5,8,11,11,AIDA
5,5,5,5,5,5,8,10,10,AIF1
10,6,10,5,5,10,8,10,5,AIF1
8,8,8,8,8,8,8,8,8,AIF1L
12,3,12,12,12,2,2,12,2,AIG1
10,6,6,6,6,10,10,11,6,AIM2
8,8,8,8,8,8,8,8,8,AIMP2
6,10,6,11,10,10,8,11,11,AIP
5,5,3,5,5,5,5,5,5,AIRE
6,10,5,10,10,10,8,5,5,AJAP1
10,3,8,8,8,8,3,8,8,AK2
12,3,5,5,5,5,3,5,5,AK2
5,8,6,10,10,5,8,6,11,AK2
3,5,10,11,10,10,3,10,10,AK3
10,10,10,11,6,10,5,10,10,AK4
10,10,10,6,6,8,5,10,10,AK4
5,8,3,12,12,3,8,3,3,AKAP1
8,8,6,8,8,8,5,6,6,AKAP10
10,5,1,3,3,5,3,6,1,AKAP11
10,10,1,3,3,5,3,6,6,AKAP11
3,10,12,10,10,5,10,3,3,AKAP13
5,5,10,9,5,5,3,10,10,AKAP13
5,6,5,10,10,5,3,5,5,AKAP13
5,8,2,3,3,10,3,12,2,AKAP7
12,10,2,12,12,3,10,2,2,AKAP7
8,8,8,8,8,8,5,8,8,AKAP8
12,8,12,3,3,5,3,2,2,AKIRIN1
12,8,12,3,3,5,3,2,2,AKIRIN1
5,6,3,11,6,8,8,3,3,AKIRIN2
